city,date,fare,ride_id
Lake Jonathanshire,2019-01-14 10:14,13.83,5739410000000
South Michelleport,2019-03-04 18:24,30.24,2343910000000
Port Samanthamouth,2019-02-24 4:29,33.44,2005070000000
Rodneyfort,2019-02-10 23:22,23.44,5149250000000
South Jack,2019-03-06 4:28,34.58,3908450000000
South Latoya,2019-03-11 12:26,9.52,1995000000000
New Paulville,2019-02-27 11:17,43.25,793208000000
Simpsonburgh,2019-04-26 0:43,35.98,111954000000
South Karenland,2019-01-08 3:28,35.09,7995620000000
North Jasmine,2019-03-09 6:26,42.81,5327640000000
New Kimberlyborough,2019-02-07 1:10,9.34,7992780000000
West Angela,2019-01-12 1:45,26.86,4820050000000
Rodneyfort,2019-03-02 18:03,44.26,2494060000000
West Angela,2019-01-10 12:17,12.74,2108720000000
Roberthaven,2019-05-04 14:48,25.66,1026200000000
North Jason,2019-03-28 22:28,9.19,7007020000000
Williamsview,2019-01-03 16:19,18.93,1979490000000
Leahton,2019-02-26 18:42,8.85,6966670000000
West Anthony,2019-03-06 2:27,10.02,9396760000000
New Kimberlyborough,2019-04-25 22:58,29.67,4823570000000
Roberthaven,2019-02-24 10:26,7.8,2180570000000
New Paulton,2019-05-01 3:12,8.28,8527100000000
West Patrickchester,2019-03-19 5:46,40.86,898889000000
Deanville,2019-04-25 3:29,41.52,6055930000000
West Josephberg,2019-02-19 16:22,36.39,3322130000000
West Samuelburgh,2019-05-03 14:33,41.12,7330840000000
West Heidi,2019-03-14 23:46,24.4,4908570000000
Loganberg,2019-04-01 1:06,8.23,678729000000
Huntermouth,2019-02-10 23:32,25.79,1880380000000
South Latoya,2019-01-11 18:44,27.41,8662300000000
New Paulville,2019-03-18 22:54,25.05,5031800000000
Grahamburgh,2019-01-15 11:44,40.69,307021000000
Port Frank,2019-02-02 14:14,41.47,6746610000000
East Kaylahaven,2019-02-28 4:13,25.96,3662520000000
Rodneyfort,2019-02-03 0:48,44.86,2325700000000
South Karenland,2019-02-12 6:52,36.01,4015930000000
West Robert,2019-02-15 4:21,12.28,1442500000000
North Markport,2019-02-18 8:17,38.09,925013000000
Williamsview,2019-03-12 6:47,8.35,1940440000000
Richardfort,2019-02-24 8:40,13.93,5628550000000
New Kimberlyborough,2019-03-14 16:47,27.9,6750800000000
Reynoldsfurt,2019-03-25 14:33,34.06,6604420000000
South Karenland,2019-05-08 2:31,41.33,5688920000000
Rodneyfort,2019-04-25 20:57,21.7,8534600000000
Justinberg,2019-04-23 8:59,14.65,9878230000000
West Josephberg,2019-03-05 3:27,12.91,102685000000
South Karenland,2019-03-03 14:48,37.3,4104000000000
Leahton,2019-05-05 10:34,17.05,5846590000000
Martinezhaven,2019-03-19 15:31,5.3,264338000000
North Jason,2019-03-03 2:13,28.02,2670550000000
Jerryton,2019-03-03 17:50,28.08,6003410000000
Lake Scottton,2019-02-18 9:22,25.02,3909340000000
South Evanton,2019-02-14 5:55,42.5,9953660000000
Rogerston,2019-05-08 1:54,32.69,1643410000000
West Samuelburgh,2019-05-02 13:55,38.77,2931690000000
West Ericstad,2019-04-24 3:20,7.31,4292480000000
New Paulville,2019-03-10 10:45,4.43,1213920000000
Hurleymouth,2019-05-04 21:50,21.44,4039660000000
West Samuelburgh,2019-03-03 3:17,25.17,1781750000000
Joneschester,2019-03-01 18:48,34.71,3343260000000
New Paulville,2019-04-03 7:51,32.7,9562560000000
Simpsonburgh,2019-01-19 23:06,15.83,233191000000
Port Angela,2019-04-17 6:23,16.34,7120530000000
West Ericstad,2019-04-04 13:03,28.52,6432850000000
New Kimberlyborough,2019-03-16 1:38,17.19,2770470000000
Joneschester,2019-01-30 17:41,36.78,1664030000000
North Markport,2019-04-26 4:45,44.37,1628420000000
Hurleymouth,2019-03-22 11:19,32.85,8449290000000
Barajasview,2019-01-15 2:59,19.52,8268110000000
Grahamburgh,2019-04-06 13:48,23.87,1468250000000
South Michelleport,2019-03-02 9:54,33.12,813844000000
Loganberg,2019-01-07 19:02,16.26,9045380000000
West Christopherberg,2019-03-18 17:14,12.64,1061090000000
Rogerston,2019-02-23 19:13,14.04,7647140000000
Huntermouth,2019-02-24 7:57,39.12,928039000000
New Jacobville,2019-02-09 2:17,7.11,3855050000000
Lake Jonathanshire,2019-04-07 20:51,31.25,4441250000000
Port David,2019-03-17 14:42,33.11,1025680000000
Martinezhaven,2019-02-20 19:32,13.34,2760690000000
Port Frank,2019-04-19 19:35,26.47,6722710000000
Valentineton,2019-03-02 14:44,39.77,6770390000000
Hurleymouth,2019-03-03 11:28,36.31,167035000000
Carriemouth,2019-02-25 8:26,32.37,6918430000000
Port Samanthamouth,2019-04-16 18:34,9.2,8712250000000
Williamsstad,2019-01-23 17:51,19.62,125986000000
Royland,2019-01-07 2:23,24.5,3620850000000
New Jacobville,2019-01-05 5:02,34.11,2828520000000
Roberthaven,2019-03-06 22:56,12.38,3372960000000
South Evanton,2019-01-07 18:47,43.61,9122500000000
New Paulton,2019-05-03 12:09,21.67,9086560000000
Karenberg,2019-03-11 17:26,36.15,7796760000000
Rodneyfort,2019-01-30 12:34,16.99,5778730000000
East Kaylahaven,2019-04-04 2:35,23.18,57422927996
Huntermouth,2019-02-19 3:19,7.05,1616520000000
Barajasview,2019-01-23 13:23,37.68,4108450000000
Williamsstad,2019-03-29 21:43,35.58,4747780000000
North Jason,2019-03-08 20:06,25.21,3180080000000
Christopherfurt,2019-04-17 2:25,23.3,7819060000000
Liumouth,2019-01-11 17:15,36.78,1464520000000
Johnton,2019-01-17 2:12,32.19,8526300000000
West Angela,2019-03-08 1:08,41.06,6204870000000
Jerryton,2019-01-04 16:38,37.2,5637870000000
Erikaland,2019-02-18 7:47,20.62,3294150000000
North Jason,2019-02-07 7:27,20,473650000000
Lake Scottton,2019-05-05 11:21,18.77,405382000000
Simpsonburgh,2019-03-22 8:56,22.05,3495180000000
Raymondhaven,2019-03-12 6:59,16.98,6447700000000
West Robert,2019-04-05 3:18,44.58,4246010000000
North Jason,2019-03-18 10:10,6.41,2865830000000
Port Samanthamouth,2019-01-23 9:08,35.51,3116860000000
West Robert,2019-01-21 17:21,27.11,1369910000000
Jerryton,2019-01-05 15:36,37.91,1587080000000
Port Samanthamouth,2019-02-03 7:07,18.03,9292190000000
Liumouth,2019-01-15 7:55,14.55,4379350000000
West Heidi,2019-04-03 3:16,24.76,1820230000000
Loganberg,2019-01-21 16:26,22.86,1954300000000
Grahamburgh,2019-02-17 9:54,30.25,4047930000000
Raymondhaven,2019-05-06 23:22,25.76,8721020000000
Karenside,2019-01-25 15:35,14.52,2652360000000
Port Frank,2019-04-06 21:38,18.08,5474890000000
Leahton,2019-04-02 17:39,22.76,5808730000000
Port Samanthamouth,2019-04-22 3:32,29.67,3154060000000
Jerryton,2019-04-13 21:47,32.08,8499180000000
West Patrickchester,2019-03-07 15:47,23.66,3066090000000
West Samuelburgh,2019-03-03 16:07,27.48,100531000000
North Markport,2019-03-31 13:58,29.41,3093470000000
West Angela,2019-03-10 11:23,27.1,1365320000000
Grahamburgh,2019-03-12 2:44,22.97,4898010000000
South Michelleport,2019-01-08 9:38,23.77,4916160000000
East Kaylahaven,2019-04-02 7:05,9.67,2088460000000
South Karenland,2019-04-22 21:37,22.86,6728150000000
Lake Danielberg,2019-02-24 12:05,9.63,9149330000000
Justinberg,2019-04-26 8:41,8.83,1823090000000
